##time,flux,flux_err
2.460093899464000016e+06,9.936139999999999972e-01,1.101999999999999898e-03
2.460093900179000106e+06,1.005471999999999921e+00,1.134999999999999941e-03
2.460093900892999955e+06,1.004420000000000091e+00,1.147000000000000016e-03
2.460093901608000044e+06,1.000520000000000076e+00,1.164000000000000104e-03
2.460093902323000133e+06,1.003212999999999910e+00,1.180000000000000059e-03
2.460093903036999982e+06,9.971560000000000423e-01,1.198999999999999979e-03
2.460093903752000071e+06,1.002669999999999950e+00,1.188000000000000037e-03
2.460093904465999920e+06,9.981489999999999529e-01,1.172000000000000082e-03
2.460093905181000009e+06,1.001058000000000003e+00,1.162999999999999971e-03
2.460093905896000098e+06,9.985439999999999872e-01,1.170000000000000033e-03
2.460093906609999947e+06,9.994260000000000366e-01,1.191999999999999917e-03
2.460093907325000037e+06,1.002466999999999997e+00,1.226000000000000093e-03
2.460093908038999885e+06,1.000086999999999948e+00,1.242000000000000048e-03
2.460093908753999975e+06,1.001600999999999964e+00,1.255000000000000039e-03
2.460093909469000064e+06,1.002405999999999908e+00,1.273000000000000043e-03
2.460093910182999913e+06,9.980109999999999815e-01,1.288999999999999998e-03
2.460093910898000002e+06,9.978970000000000340e-01,1.307999999999999918e-03
2.460093911613000091e+06,9.971200000000000063e-01,1.304999999999999953e-03
2.460093912326999940e+06,1.007932999999999968e+00,1.327999999999999970e-03
2.460093913042000029e+06,1.001455999999999902e+00,1.337999999999999997e-03
2.460093913755999878e+06,9.999590000000000423e-01,1.345999999999999974e-03
2.460093914470999967e+06,9.968820000000000459e-01,1.327000000000000055e-03
2.460093915184999816e+06,1.003876999999999908e+00,1.299999999999999940e-03
2.460093915899999905e+06,1.003012000000000015e+00,1.294999999999999927e-03
2.460093916614999995e+06,9.977639999999999842e-01,1.297999999999999892e-03
2.460093917328999843e+06,9.959480000000000555e-01,1.276000000000000007e-03
2.460093918043999933e+06,9.997150000000000203e-01,1.265999999999999981e-03
2.460093918757999782e+06,9.964260000000000339e-01,1.235999999999999903e-03
2.460093919472999871e+06,1.000729999999999897e+00,1.219000000000000031e-03
2.460093920187999960e+06,1.004456999999999933e+00,1.188999999999999953e-03
2.460093920901999809e+06,1.001659000000000077e+00,1.209999999999999921e-03
2.460093921616000123e+06,9.989989999999999704e-01,1.196999999999999930e-03
2.460093922331000213e+06,9.982959999999999612e-01,1.170999999999999949e-03
2.460093923045999836e+06,9.986890000000000489e-01,1.188000000000000037e-03
2.460093923760000151e+06,9.990520000000000511e-01,1.216999999999999983e-03
2.460093924474999774e+06,1.000000000000000000e+00,1.211999999999999970e-03
2.460093925189999864e+06,1.001001000000000030e+00,1.219000000000000031e-03
2.460093925904000178e+06,1.004513999999999907e+00,1.271999999999999910e-03
2.460093926618999802e+06,9.998169999999999558e-01,1.255000000000000039e-03
2.460093927333000116e+06,9.950849999999999973e-01,1.253999999999999906e-03
2.460093928048000205e+06,1.001927000000000012e+00,1.250000000000000026e-03
2.460093928762000054e+06,1.006116000000000010e+00,1.255000000000000039e-03
2.460093929477000143e+06,9.972090000000000121e-01,1.255000000000000039e-03
2.460093930192000233e+06,1.009611999999999954e+00,1.283000000000000069e-03
2.460093930906000081e+06,1.009514999999999940e+00,1.283999999999999985e-03
2.460093931621000171e+06,1.001764000000000099e+00,1.306000000000000086e-03
2.460093932335000020e+06,1.003004000000000007e+00,1.319999999999999993e-03
2.460093933050000109e+06,9.936139999999999972e-01,1.314000000000000064e-03
2.460093933765000198e+06,9.994939999999999936e-01,1.252999999999999991e-03
2.460093934479000047e+06,9.986779999999999546e-01,1.239000000000000084e-03
2.460093935194000136e+06,1.002307000000000059e+00,1.235999999999999903e-03
